Id_Cliente,Programa_Puntos_Gasolina,Tarjeta_Black,Millas_Acumuladas,Facturacion_Tarjeta_Mes_Anterior_USD,Total_Transacciones,Facturacion_Internacional_USD,Total_Compras_Internacionales,Llamadas_a_su_Ejecutivo,Churn
1,No,Si,26100,1309,44,84,3,1,Vigente
2,No,Si,27230,1025,49,116,3,1,Vigente
3,No,No,1140,1080,46,104,5,0,Vigente
4,Si,No,710,1153,28,0,7,2,Vigente
5,Si,No,1130,893,45,0,3,3,Vigente
6,Si,No,980,1166,39,0,6,0,Vigente
7,No,Si,24880,1355,35,0,7,3,Vigente
8,Si,No,790,807,32,0,6,0,Vigente
9,No,No,970,1269,39,76,4,1,Vigente
10,Si,Si,37840,1388,34,80,5,0,Vigente
11,No,No,1370,939,55,108,6,4,Fugado
12,No,No,1270,986,51,76,5,0,Vigente
13,No,No,960,695,38,96,2,1,Vigente
14,No,No,880,1034,35,104,5,3,Vigente
15,No,No,700,1030,28,112,6,4,Vigente
16,No,No,670,1597,27,0,9,4,Fugado
17,No,Si,28390,1126,56,116,4,1,Vigente
18,No,No,1140,1021,46,0,3,3,Vigente
19,No,Si,33660,1047,26,84,5,1,Vigente
20,No,No,900,1107,36,112,2,1,Vigente
21,No,No,1170,1023,47,92,4,0,Vigente
22,No,No,890,625,36,0,6,5,Fugado
23,No,No,1120,832,45,80,19,0,Vigente
24,No,No,1030,711,41,0,6,2,Vigente
25,No,No,860,834,34,88,2,0,Vigente
26,No,No,760,1041,30,132,5,3,Vigente
27,No,Si,40150,1096,46,80,3,0,Vigente
28,No,No,730,772,29,124,4,3,Vigente
29,No,No,1090,1109,44,0,6,0,Vigente
30,No,No,1170,860,47,96,1,1,Vigente
31,No,No,950,713,38,120,6,2,Vigente
32,No,No,1050,1203,42,88,5,1,Vigente
33,No,No,1210,959,48,108,10,3,Vigente
34,No,No,1180,1379,47,100,3,1,Fugado
35,No,Si,25940,1016,38,0,4,0,Vigente
36,No,Si,37800,1153,32,124,6,3,Vigente
37,No,Si,31280,840,51,124,6,0,Vigente
38,No,No,640,939,26,84,5,1,Vigente
39,Si,Si,34060,999,42,76,6,3,Vigente
40,No,No,940,1014,38,96,9,1,Vigente
41,No,No,1020,810,41,80,2,3,Vigente
42,Si,Si,41850,961,34,104,15,0,Fugado
43,No,No,820,1071,33,84,4,2,Vigente
44,No,No,770,680,31,80,4,3,Vigente
45,No,No,670,1008,27,0,3,1,Vigente
46,No,Si,28970,838,39,0,5,2,Vigente
47,No,No,1200,1030,48,112,5,3,Vigente
48,No,No,1330,972,53,0,5,2,Vigente
49,No,No,1140,964,46,76,3,5,Fugado
50,No,Si,25350,816,54,92,3,1,Vigente
51,No,No,1080,1184,43,0,5,3,Vigente
52,No,No,570,1184,23,0,3,1,Vigente
53,No,No,1120,1100,45,96,6,2,Vigente
54,No,No,1170,1087,47,80,5,2,Vigente
55,No,No,830,972,33,84,3,5,Fugado
56,No,No,670,1144,27,88,3,1,Vigente
57,No,No,980,785,39,0,2,1,Vigente
58,No,Si,31290,862,52,0,3,3,Fugado
59,No,No,700,959,28,104,3,3,Vigente
60,No,No,1030,1142,41,104,8,1,Vigente
61,No,No,970,999,39,96,4,1,Vigente
62,No,Si,34830,1236,33,100,3,2,Vigente
63,No,Si,33910,1109,36,124,3,2,Vigente
64,No,Si,28920,1076,37,108,3,3,Vigente
65,No,No,980,788,39,0,6,2,Vigente
66,No,Si,41740,880,30,0,5,2,Vigente
67,Si,No,1050,1212,42,0,4,0,Vigente
68,Si,No,930,807,37,0,8,0,Vigente
69,No,No,700,1098,28,0,1,1,Vigente
70,No,No,1010,955,40,116,3,4,Fugado
71,No,No,930,1250,37,100,7,3,Vigente
72,No,Si,46970,1195,39,104,2,0,Vigente
73,No,No,830,1124,33,0,4,3,Vigente
74,No,No,1460,1087,58,0,4,1,Vigente
75,No,No,1090,1131,44,104,3,0,Vigente
76,No,No,900,959,36,0,2,1,Vigente
77,No,No,1090,1417,44,100,4,0,Fugado
78,No,No,1170,466,47,0,7,4,Fugado
79,No,No,720,1049,29,0,3,2,Vigente
80,No,No,980,979,39,128,2,1,Vigente
81,No,No,990,1274,40,112,2,1,Vigente
82,Si,No,1040,1201,42,88,5,3,Vigente
83,No,Si,26230,876,49,92,2,3,Vigente
84,No,Si,25010,1338,40,84,4,1,Vigente
85,No,No,960,1195,38,104,1,2,Fugado
86,No,Si,30040,1151,42,0,7,0,Vigente
87,No,No,1050,878,42,0,5,4,Fugado
88,No,No,1180,1137,47,104,2,1,Vigente
89,No,Si,36040,845,42,92,9,2,Vigente
90,No,No,1250,1294,50,120,4,1,Fugado
91,No,No,610,849,24,96,2,1,Vigente
92,No,No,1000,1074,40,76,4,0,Fugado
93,No,No,1000,856,40,0,9,1,Vigente
94,No,No,930,1256,37,80,7,3,Vigente
95,No,No,710,959,28,92,7,3,Vigente
96,No,No,1060,1113,42,84,5,1,Vigente
97,No,No,1100,983,44,112,4,0,Vigente
98,No,No,870,1080,35,76,3,4,Vigente
99,No,No,1310,1087,52,0,5,1,Fugado
100,No,No,720,1305,29,84,7,2,Fugado
101,No,Si,22140,992,46,0,8,4,Vigente
102,No,No,1370,975,55,124,5,0,Vigente
103,No,No,820,812,33,88,6,0,Vigente
104,No,No,990,920,40,108,9,1,Vigente
105,No,No,940,1003,38,96,2,1,Vigente
106,No,No,650,1179,26,100,4,4,Vigente
107,No,Si,30020,1313,41,76,6,2,Vigente
108,No,Si,22310,805,52,84,3,1,Vigente
109,No,Si,32910,849,36,84,1,1,Vigente
110,No,No,900,1126,36,80,7,3,Vigente
111,No,No,1000,1085,40,0,8,1,Vigente
112,No,No,1170,1107,47,108,2,2,Vigente
113,No,No,1170,990,47,104,4,4,Vigente
114,No,No,1080,933,43,112,7,1,Vigente
115,No,No,1250,634,50,80,3,1,Vigente
116,Si,Si,42890,1140,36,140,6,0,Fugado
117,No,No,830,814,33,120,3,1,Vigente
118,No,No,1140,1331,46,80,4,1,Fugado
119,No,Si,37170,750,47,84,3,2,Vigente
120,No,No,1250,1177,50,76,5,2,Vigente
121,No,No,920,1170,37,112,7,1,Vigente
122,No,Si,23020,981,41,0,3,0,Vigente
123,No,No,1030,1049,41,84,4,3,Vigente
124,No,No,1240,843,50,100,3,1,Vigente
125,No,No,1190,838,48,80,5,2,Vigente
126,No,No,520,1186,21,104,3,1,Vigente
127,No,No,1080,603,43,76,3,4,Fugado
128,No,Si,28240,975,50,0,6,4,Fugado
129,No,No,900,737,36,80,4,2,Vigente
130,No,Si,37150,1120,46,80,4,3,Vigente
131,No,No,920,915,37,92,2,3,Vigente
132,No,No,1250,953,50,0,5,1,Vigente
133,No,No,1150,1267,46,80,3,1,Vigente
134,No,No,960,1080,38,0,1,4,Vigente
135,No,No,1090,1082,44,76,10,1,Vigente
136,Si,No,1120,876,45,80,3,3,Vigente
137,No,Si,21970,1047,39,0,4,5,Vigente
138,No,No,1060,1118,42,104,3,3,Vigente
139,No,Si,37170,983,47,96,8,1,Vigente
140,No,Si,24010,999,40,88,5,2,Vigente
141,No,No,1150,1054,46,104,3,1,Vigente
142,No,Si,39680,1159,27,88,4,0,Vigente
143,No,Si,29070,972,43,0,5,3,Vigente
144,No,No,470,1225,19,100,4,1,Vigente
145,Si,No,860,1003,34,100,7,2,Fugado
146,No,No,1010,1069,40,120,6,3,Vigente
147,No,No,910,953,36,116,3,1,Vigente
148,Si,No,870,1258,35,84,4,1,Vigente
149,No,No,1210,1021,48,0,5,1,Vigente
150,No,Si,43970,1274,39,96,4,2,Vigente
151,No,No,990,1080,40,92,6,1,Vigente
152,No,No,1190,887,48,84,7,1,Vigente
153,No,No,1160,997,46,0,6,1,Vigente
154,No,No,1120,1173,45,0,11,1,Vigente
155,No,No,1150,1243,46,96,4,5,Vigente
156,No,No,1160,1208,46,84,4,0,Vigente
157,No,No,1200,1525,48,136,7,0,Fugado
158,No,Si,24290,1093,52,116,2,0,Vigente
159,No,No,1170,1107,47,88,2,1,Vigente
160,No,Si,25240,860,50,80,4,1,Vigente
161,No,No,970,794,39,0,5,0,Vigente
162,No,No,1100,1252,44,104,6,0,Vigente
163,No,Si,36990,1135,40,88,5,3,Vigente
164,No,No,1030,733,41,104,1,1,Vigente
165,No,No,1510,983,60,0,3,1,Vigente
166,No,Si,33920,1265,37,104,2,2,Vigente
167,No,Si,32260,1041,50,0,3,1,Vigente
168,No,No,1020,1208,41,92,3,1,Vigente
169,No,Si,39240,928,50,108,4,1,Vigente
170,No,No,870,1104,35,0,2,0,Vigente
171,No,No,1050,1164,42,112,2,1,Vigente
172,No,Si,27910,966,36,92,5,2,Vigente
173,No,No,870,922,35,88,4,3,Vigente
174,No,No,870,816,35,120,2,1,Vigente
175,No,No,920,1085,37,0,5,0,Vigente
176,No,No,1040,1179,42,96,7,2,Vigente
177,No,No,910,922,36,104,3,0,Vigente
178,No,No,1030,1137,41,96,3,2,Vigente
179,No,No,930,1034,37,136,10,3,Vigente
180,No,No,1220,1272,49,0,0,3,Vigente
181,Si,Si,24250,1155,50,0,5,4,Vigente
182,No,No,940,537,38,100,1,5,Fugado
183,No,Si,37110,869,44,84,12,2,Vigente
184,No,No,980,1157,39,124,7,2,Vigente
185,Si,No,680,1265,27,0,3,3,Vigente
186,No,No,1450,1265,58,92,13,1,Vigente
187,No,No,740,763,30,88,4,1,Vigente
188,No,No,710,1247,28,92,3,2,Vigente
189,No,No,1110,900,44,76,3,1,Vigente
190,No,No,1090,1181,44,76,3,1,Vigente
191,No,No,850,790,34,76,4,0,Vigente
192,No,No,1090,884,44,80,2,1,Vigente
193,No,No,740,1111,30,76,4,2,Vigente
194,No,No,1180,884,47,116,2,0,Vigente
195,No,Si,23520,1232,21,80,4,1,Vigente
196,No,Si,23860,1014,34,0,6,1,Vigente
197,No,No,1190,959,48,84,8,0,Vigente
198,No,No,670,1412,27,92,6,2,Fugado
199,Si,Si,27010,1408,40,96,7,4,Fugado
200,No,No,640,757,26,112,3,0,Vigente
201,No,Si,25460,1012,58,112,5,3,Vigente
202,No,No,1010,1265,40,96,1,2,Vigente
203,No,No,860,1131,34,0,8,3,Vigente
204,No,No,1090,876,44,0,3,2,Vigente
205,No,No,1050,1025,42,80,4,1,Vigente
206,No,Si,36760,827,30,104,2,1,Vigente
207,No,No,980,1045,39,116,8,2,Vigente
208,No,No,940,1071,38,92,5,3,Vigente
209,No,No,950,1113,38,104,5,3,Vigente
210,No,No,1120,1254,45,136,7,3,Vigente
211,No,No,720,1142,29,100,10,1,Vigente
212,Si,No,1000,1162,40,84,11,0,Vigente
213,No,Si,25310,964,52,92,3,1,Vigente
214,No,Si,32390,909,56,104,6,1,Vigente
215,Si,No,980,1129,39,124,4,2,Fugado
216,No,No,930,1019,37,96,6,3,Vigente
217,No,No,890,906,36,92,3,0,Vigente
218,No,No,800,1089,32,0,7,3,Vigente
219,No,No,1210,1311,48,112,2,1,Fugado
220,No,No,1210,999,48,0,12,0,Vigente
221,No,No,1160,988,46,104,6,3,Vigente
222,No,Si,23140,986,46,88,6,1,Vigente
223,No,No,1120,994,45,0,2,1,Vigente
224,No,No,1130,975,45,76,6,2,Vigente
225,No,No,970,691,39,116,1,2,Vigente
226,No,No,1110,1184,44,0,4,1,Vigente
227,No,No,850,1177,34,0,2,3,Vigente
228,No,Si,27780,931,31,80,3,2,Vigente
229,No,Si,24360,1318,54,112,3,4,Vigente
230,No,Si,22840,1223,34,100,3,0,Vigente
231,Si,No,1090,1322,44,76,2,0,Fugado
232,Si,Si,37100,1210,44,76,6,1,Vigente
233,No,No,960,1122,38,116,2,3,Vigente
234,No,No,970,992,39,92,2,0,Vigente
235,Si,No,1400,1082,56,0,5,1,Vigente
236,No,No,1060,906,42,88,2,5,Fugado
237,No,Si,41030,997,41,76,9,2,Vigente
238,No,No,1170,711,47,84,7,3,Vigente
239,No,No,1480,651,59,92,9,0,Vigente
240,No,No,860,968,34,80,6,1,Vigente
241,No,No,890,990,36,108,5,0,Vigente
242,Si,No,950,818,38,88,2,2,Fugado
243,No,No,770,1269,31,0,2,1,Vigente
244,No,No,810,1107,32,0,2,3,Vigente
245,No,No,990,1300,40,80,3,0,Fugado
246,No,No,1070,772,43,80,5,0,Vigente
247,No,Si,38020,583,41,96,3,0,Vigente
248,No,No,940,1120,38,88,5,0,Vigente
249,No,No,850,1067,34,80,2,4,Vigente
250,No,Si,24140,1096,46,100,4,2,Vigente
251,No,Si,29990,922,40,120,11,4,Fugado
252,No,No,910,1082,36,124,7,4,Vigente
253,No,No,900,1129,36,76,8,3,Vigente
254,No,Si,42010,917,40,80,3,0,Vigente
255,Si,No,1170,1005,47,76,3,0,Vigente
256,No,Si,33260,1008,50,120,8,4,Vigente
257,No,No,1220,887,49,84,3,1,Vigente
258,No,No,1180,834,47,124,8,1,Vigente
259,Si,No,1110,664,44,0,2,1,Fugado
260,No,No,790,977,32,76,4,1,Vigente
261,No,Si,26100,1005,44,0,9,1,Vigente
262,No,No,880,854,35,132,1,1,Vigente
263,No,No,1030,931,41,96,3,1,Vigente
264,No,No,1100,1067,44,108,1,1,Vigente
265,No,No,550,1212,22,0,6,2,Vigente
266,No,Si,30790,1269,32,96,6,1,Vigente
267,No,Si,28940,1168,38,0,9,4,Vigente
268,No,No,890,928,36,116,6,3,Vigente
269,No,Si,49040,614,42,0,4,0,Vigente
270,Si,No,1230,911,49,0,3,2,Vigente
271,No,No,1050,1203,42,124,3,0,Vigente
272,No,No,1210,851,48,0,3,1,Vigente
273,No,Si,28780,1175,31,0,13,3,Vigente
274,No,No,1040,1133,42,112,3,3,Vigente
275,No,Si,28900,964,36,84,3,1,Vigente
276,No,No,1030,1133,41,84,5,3,Vigente
277,Si,No,880,1153,35,80,4,0,Vigente
278,No,Si,48960,939,38,0,2,2,Fugado
279,No,Si,25850,1148,34,92,6,2,Vigente
280,Si,No,1350,1142,54,76,6,3,Vigente
281,No,No,970,972,39,112,4,2,Vigente
282,No,No,930,1093,37,88,6,2,Vigente
283,No,Si,38150,1027,46,104,1,1,Vigente
284,No,Si,28740,1307,30,76,2,1,Vigente
285,No,No,1080,1100,43,0,5,3,Vigente
286,No,Si,24900,961,36,132,3,2,Vigente
287,No,No,1220,990,49,76,5,2,Vigente
288,No,No,880,1210,35,124,4,2,Vigente
289,No,No,880,1071,35,120,5,0,Vigente
290,No,No,950,1549,38,0,3,1,Fugado
291,No,Si,35210,1274,48,0,2,0,Vigente
292,No,No,1100,625,44,84,3,0,Vigente
293,No,No,1120,950,45,0,4,1,Vigente
294,No,Si,37930,902,37,88,5,5,Fugado
295,No,Si,18860,953,34,84,3,1,Vigente
296,No,No,1150,1078,46,80,5,1,Vigente
297,No,No,830,774,33,84,5,2,Vigente
298,No,No,1170,977,47,100,1,0,Vigente
299,No,No,1290,1146,52,0,9,4,Vigente
300,No,No,980,1085,39,0,5,1,Vigente
301,No,No,800,876,32,100,4,2,Vigente
302,No,No,1060,1364,42,0,2,1,Fugado
303,No,No,1080,1300,43,96,3,0,Fugado
304,No,No,1060,1124,42,76,4,1,Vigente
305,No,No,1170,860,47,88,10,1,Vigente
306,No,No,1090,1232,44,76,5,2,Vigente
307,No,No,1110,1404,44,0,10,1,Fugado
308,No,No,990,1346,40,96,3,4,Fugado
309,No,No,1010,1047,40,96,2,0,Vigente
310,No,No,1280,1234,51,76,4,3,Vigente
311,No,No,1090,1324,44,112,2,1,Fugado
312,No,Si,39020,1173,41,84,6,1,Vigente
313,No,No,690,1076,28,92,3,0,Vigente
314,No,No,1360,898,54,84,4,0,Vigente
315,No,No,990,957,40,160,2,0,Vigente
316,No,No,1580,783,63,104,3,1,Vigente
317,No,Si,29050,915,42,0,4,2,Vigente
318,No,Si,29660,876,26,0,3,3,Vigente
