CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level,Unnamed: 0,InvoiceDate,Comercio,Beneficio,TotalSum,InvoiceNo
1,35,3,51.29,1,1,2,112,4,Necesitan atención,10032,4/12/21,KRISPY KREME EL DORA,MillasRestoPub,11.55,8416
1,35,3,51.29,1,1,2,112,4,Necesitan atención,10163,4/27/21,T G I FRIDAYS,MillasRestoPub,15.5,19771
1,35,3,51.29,1,1,2,112,4,Necesitan atención,10687,4/21/21,BARRIO PIZZA,MillasRestoPub,24.24,15508
2,1,15,207.03,4,4,4,444,12,No los podemos perder,712,4/22/21,DELI GOURMET,MillasAerolinea,33.16,16396
2,1,15,207.03,4,4,4,444,12,No los podemos perder,732,4/23/21,DELI GOURMET,MillasAerolinea,12.85,16798
2,1,15,207.03,4,4,4,444,12,No los podemos perder,1476,5/30/21,DELI GOURMET,MillasAerolinea,16.27,58267
2,1,15,207.03,4,4,4,444,12,No los podemos perder,1477,5/30/21,DELI GOURMET,MillasAerolinea,16.27,58270
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15169,4/5/21,BARRIO PIZZA,MillasAerolinea,10.91,2530
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15406,5/14/21,BARRIO PIZZA,MillasAerolinea,19.26,38098
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15408,5/14/21,BARRIO PIZZA,MillasAerolinea,19.26,38158
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15690,4/8/21,THE COFFEE BEAN AND TE,MillasAerolinea,13.4,4717
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15761,4/19/21,THE COFFEE BEAN AND TE,MillasAerolinea,12.4,14152
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15865,5/8/21,THE COFFEE BEAN AND TE,MillasAerolinea,7.95,30553
2,1,15,207.03,4,4,4,444,12,No los podemos perder,15866,5/8/21,THE COFFEE BEAN AND TE,MillasAerolinea,7.95,30565
2,1,15,207.03,4,4,4,444,12,No los podemos perder,16518,4/10/21,GUT,MillasAerolinea,3.5,6352
2,1,15,207.03,4,4,4,444,12,No los podemos perder,19537,5/2/21,THE COFFEE BEAN Y TEA,MillasAerolinea,9.95,24499
2,1,15,207.03,4,4,4,444,12,No los podemos perder,20108,5/31/21,THE COFFEE BEAN Y TEA,MillasAerolinea,11.95,59335
2,1,15,207.03,4,4,4,444,12,No los podemos perder,20109,5/31/21,THE COFFEE BEAN Y TEA,MillasAerolinea,11.95,59338
3,3,7,171.46,4,3,4,434,11,No los podemos perder,688,4/21/21,DELI GOURMET,MillasAerolinea,10.94,15727
3,3,7,171.46,4,3,4,434,11,No los podemos perder,1444,5/29/21,DELI GOURMET,MillasAerolinea,24.32,57349
3,3,7,171.46,4,3,4,434,11,No los podemos perder,1445,5/29/21,DELI GOURMET,MillasAerolinea,24.32,57352
3,3,7,171.46,4,3,4,434,11,No los podemos perder,7953,5/20/21,ATHENS PIZZA,Sin beneficio,43.58,46321
3,3,7,171.46,4,3,4,434,11,No los podemos perder,16279,4/29/21,ATHENS PIZZA,MillasAerolinea,29.25,21655
3,3,7,171.46,4,3,4,434,11,No los podemos perder,16384,5/13/21,ATHENS PIZZA,MillasAerolinea,22.87,37102
3,3,7,171.46,4,3,4,434,11,No los podemos perder,18843,4/24/21,KRISPY KREME,MillasAerolinea,16.18,17689
4,16,3,143.52,1,1,4,114,6,Con Potencial,6846,5/11/21,DELI GOURMET,MillasHotel,14.42,34063
4,16,3,143.52,1,1,4,114,6,Con Potencial,8850,4/16/21,BARRIO PIZZA,MillasHotel,9.84,11587
4,16,3,143.52,1,1,4,114,6,Con Potencial,9285,5/16/21,CIAO BELLA PIZZA,MillasHotel,119.26,40177
5,24,7,114.4,1,3,3,133,7,Clientes fieles,1099,5/1/21,DELI GOURMET,MillasAerolinea,19.88,23806
5,24,7,114.4,1,3,3,133,7,Clientes fieles,1100,5/1/21,DELI GOURMET,MillasAerolinea,16.24,23812
5,24,7,114.4,1,3,3,133,7,Clientes fieles,2892,5/8/21,DELI GOURMET,MillasAerolinea,12.4,30511
5,24,7,114.4,1,3,3,133,7,Clientes fieles,2893,5/8/21,DELI GOURMET,MillasAerolinea,12.4,30514
5,24,7,114.4,1,3,3,133,7,Clientes fieles,18044,4/27/21,CIAO BELLA GOURMET,MillasAerolinea,45,19975
5,24,7,114.4,1,3,3,133,7,Clientes fieles,18767,4/13/21,KRISPY KREME,MillasAerolinea,4.24,9178
5,24,7,114.4,1,3,3,133,7,Clientes fieles,18825,4/21/21,KRISPY KREME,MillasAerolinea,4.24,15100
6,24,5,90.49,1,2,3,123,6,Con Potencial,1098,5/1/21,DELI GOURMET,MillasAerolinea,9.51,23797
6,24,5,90.49,1,2,3,123,6,Con Potencial,17972,4/18/21,CIAO BELLA GOURMET,MillasAerolinea,55.16,13189
6,24,5,90.49,1,2,3,123,6,Con Potencial,18865,4/27/21,KRISPY KREME,MillasAerolinea,11.04,19744
6,24,5,90.49,1,2,3,123,6,Con Potencial,18942,5/8/21,KRISPY KREME,MillasAerolinea,7.39,30613
6,24,5,90.49,1,2,3,123,6,Con Potencial,18943,5/8/21,KRISPY KREME,MillasAerolinea,7.39,30616
7,15,4,69.72,2,1,2,212,5,Promesas,9956,4/4/21,CIAO BELLA GOURMET,MillasRestoPub,27.99,1903
7,15,4,69.72,2,1,2,212,5,Promesas,10737,5/5/21,BARRIO PIZZA,MillasRestoPub,13.11,27856
7,15,4,69.72,2,1,2,212,5,Promesas,11482,5/5/21,ATHENS PIZZA,MillasRestoPub,13.91,27016
7,15,4,69.72,2,1,2,212,5,Promesas,11542,5/17/21,ATHENS PIZZA,MillasRestoPub,14.71,41392
8,19,7,167.91,1,3,4,134,8,Campeones,458,4/14/21,DELI GOURMET,MillasAerolinea,37.52,10018
8,19,7,167.91,1,3,4,134,8,Campeones,643,4/20/21,DELI GOURMET,MillasAerolinea,30.23,14494
8,19,7,167.91,1,3,4,134,8,Campeones,2038,5/6/21,DELI GOURMET,MillasAerolinea,26.4,28510
8,19,7,167.91,1,3,4,134,8,Campeones,2047,5/6/21,DELI GOURMET,MillasAerolinea,26.4,28615
8,19,7,167.91,1,3,4,134,8,Campeones,17859,4/6/21,BARRIO PIZZA NRO,MillasAerolinea,29.96,3001
8,19,7,167.91,1,3,4,134,8,Campeones,19736,5/13/21,THE COFFEE BEAN Y TEA,MillasAerolinea,8.7,36619
8,19,7,167.91,1,3,4,134,8,Campeones,19742,5/13/21,THE COFFEE BEAN Y TEA,MillasAerolinea,8.7,37441
9,8,6,81.7,2,3,2,232,7,Clientes fieles,2961,5/24/21,DELI GOURMET,MillasAerolinea,8.5,50203
9,8,6,81.7,2,3,2,232,7,Clientes fieles,2965,5/24/21,DELI GOURMET,MillasAerolinea,8.5,50233
9,8,6,81.7,2,3,2,232,7,Clientes fieles,16318,5/4/21,ATHENS PIZZA,MillasAerolinea,12.57,26359
9,8,6,81.7,2,3,2,232,7,Clientes fieles,16328,5/5/21,ATHENS PIZZA,MillasAerolinea,1.34,27328
9,8,6,81.7,2,3,2,232,7,Clientes fieles,16329,5/5/21,ATHENS PIZZA,MillasAerolinea,12.57,27331
9,8,6,81.7,2,3,2,232,7,Clientes fieles,18064,4/29/21,CIAO BELLA GOURMET,MillasAerolinea,38.22,21829
10,17,3,68.88,1,1,2,112,4,Necesitan atención,6883,5/15/21,DELI GOURMET,MillasHotel,12.79,39391
10,17,3,68.88,1,1,2,112,4,Necesitan atención,9438,5/1/21,ATHENS PIZZA,MillasHotel,42.8,23752
10,17,3,68.88,1,1,2,112,4,Necesitan atención,9565,4/21/21,KRISPY KREME,MillasHotel,13.29,15667
11,10,6,220.59,2,3,4,234,9,No los podemos perder,767,4/24/21,DELI GOURMET,MillasAerolinea,23.81,17443
11,10,6,220.59,2,3,4,234,9,No los podemos perder,2322,4/1/21,DELI GOURMET,MillasAerolinea,71.78,526
11,10,6,220.59,2,3,4,234,9,No los podemos perder,2323,4/1/21,DELI GOURMET,MillasAerolinea,8.5,589
11,10,6,220.59,2,3,4,234,9,No los podemos perder,15487,5/22/21,BARRIO PIZZA,MillasAerolinea,43.49,48238
11,10,6,220.59,2,3,4,234,9,No los podemos perder,15488,5/22/21,BARRIO PIZZA,MillasAerolinea,43.49,48241
11,10,6,220.59,2,3,4,234,9,No los podemos perder,16186,4/16/21,ATHENS PIZZA,MillasAerolinea,29.52,11542
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7397,4/25/21,DELI GOURMET,Sin beneficio,13.9,18829
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7668,4/8/21,KRISPY KREME,Sin beneficio,11.04,5149
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7695,4/14/21,BARRIO PIZZA,Sin beneficio,14.45,9958
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7727,4/21/21,BARRIO PIZZA,Sin beneficio,6.02,15070
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7786,4/30/21,BARRIO PIZZA,Sin beneficio,12.05,22822
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7821,5/5/21,BARRIO PIZZA,Sin beneficio,6.02,26911
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7847,5/7/21,BARRIO PIZZA,Sin beneficio,19.83,29461
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7859,5/10/21,BARRIO PIZZA,Sin beneficio,8.58,32581
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7884,5/12/21,BARRIO PIZZA,Sin beneficio,6.02,35452
12,7,11,119.13,3,4,3,343,10,No los podemos perder,7958,5/20/21,BARRIO PIZZA,Sin beneficio,6.02,46828
12,7,11,119.13,3,4,3,343,10,No los podemos perder,8006,5/25/21,BARRIO PIZZA,Sin beneficio,15.2,52612
