,InvoiceDate,Comercio,Beneficio,TotalSum,CustomerID,InvoiceNo
0,2021-04-01,DELI GOURMET,MillasAerolinea,4.0,1063,898
1,2021-04-05,DELI GOURMET,MillasAerolinea,4.45,1063,2617
2,2021-04-06,DELI GOURMET,MillasAerolinea,4.0,1063,3439
3,2021-04-07,DELI GOURMET,MillasAerolinea,4.0,1063,4336
4,2021-04-08,DELI GOURMET,MillasAerolinea,7.55,1063,4963
5,2021-04-09,DELI GOURMET,MillasAerolinea,4.0,1063,5665
6,2021-04-10,DELI GOURMET,MillasAerolinea,4.25,1063,6790
7,2021-04-12,DELI GOURMET,MillasAerolinea,4.0,1063,8581
8,2021-04-13,DELI GOURMET,MillasAerolinea,4.0,1063,8893
9,2021-04-14,DELI GOURMET,MillasAerolinea,4.25,1063,9922
10,2021-04-15,DELI GOURMET,MillasAerolinea,5.0,1063,11071
11,2021-04-16,DELI GOURMET,MillasAerolinea,5.0,1063,11554
12,2021-04-19,DELI GOURMET,MillasAerolinea,5.0,1063,13903
13,2021-04-20,DELI GOURMET,MillasAerolinea,5.0,1063,14926
14,2021-04-21,DELI GOURMET,MillasAerolinea,5.6,1063,15634
15,2021-04-30,DELI GOURMET,MillasAerolinea,6.5,1063,22453
16,2021-04-30,DELI GOURMET,MillasAerolinea,5.25,1063,22522
17,2021-05-02,DELI GOURMET,MillasAerolinea,8.65,1063,24133
18,2021-05-02,DELI GOURMET,MillasAerolinea,2.75,1063,24136
19,2021-05-03,DELI GOURMET,MillasAerolinea,5.0,1063,24874
20,2021-05-04,DELI GOURMET,MillasAerolinea,5.0,1063,26527
21,2021-05-05,DELI GOURMET,MillasAerolinea,5.0,1063,27208
22,2021-05-06,DELI GOURMET,MillasAerolinea,5.0,1063,28300
23,2021-05-07,DELI GOURMET,MillasAerolinea,5.0,1063,29989
24,2021-05-07,DELI GOURMET,MillasAerolinea,5.0,1063,29992
25,2021-05-10,DELI GOURMET,MillasAerolinea,6.0,1063,32794
26,2021-05-10,DELI GOURMET,MillasAerolinea,6.0,1063,32809
27,2021-05-11,DELI GOURMET,MillasAerolinea,6.0,1063,33895
28,2021-05-11,DELI GOURMET,MillasAerolinea,6.0,1063,33898
29,2021-05-12,DELI GOURMET,MillasAerolinea,2.97,1063,36175
